timestamp,S1_RSSI,S2_RSSI,S3_RSSI,S4_RSSI,action_label,experiment_id,sub_action_label
2026-03-08 12:37:59.104,-72,,-57,,01-Near-Facing-In,EXP_001,01-Near-Facing-In-N
2026-03-08 12:37:59.105,-66,-68,-62,-54,01-Near-Facing-In,EXP_001,01-Near-Facing-In-N
2026-03-08 12:37:59.106,-69,-76,-65,-60,01-Near-Facing-In,EXP_001,01-Near-Facing-In-N
2026-03-08 12:37:59.107,-72,-69,-63,-56,01-Near-Facing-In,EXP_001,01-Near-Facing-In-N
2026-03-08 12:37:59.108,-71,-67,-63,-64,01-Near-Facing-In,EXP_001,01-Near-Facing-In-N
2026-03-08 12:37:59.109,-76,-72,-59,-55,01-Near-Facing-In,EXP_001,01-Near-Facing-In-N
2026-03-08 12:37:59.110,-70,-69,-72,-42,01-Near-Facing-In,EXP_001,01-Near-Facing-In-N
2026-03-08 12:37:59.111,-63,-71,-69,-44,01-Near-Facing-In,EXP_001,01-Near-Facing-In-N
2026-03-08 12:37:59.112,-59,-65,-64,-53,01-Near-Facing-In,EXP_001,01-Near-Facing-In-N
2026-03-08 12:37:59.113,-70,-69,-66,-39,01-Near-Facing-In,EXP_001,01-Near-Facing-In-N
2026-03-08 12:37:59.329,,-66,-66,,01-Near-Facing-In,EXP_001,01-Near-Facing-In-N
2026-03-08 12:37:59.530,-58,-63,-64,,01-Near-Facing-In,EXP_001,01-Near-Facing-In-N
2026-03-08 12:37:59.729,-59,-64,-67,,01-Near-Facing-In,EXP_001,01-Near-Facing-In-N
2026-03-08 12:37:59.925,-70,-66,-66,,01-Near-Facing-In,EXP_001,01-Near-Facing-In-N
2026-03-08 12:38:00.118,,,-64,,01-Near-Facing-In,EXP_001,01-Near-Facing-In-N
2026-03-08 12:38:00.119,-70,-64,-71,,01-Near-Facing-In,EXP_001,01-Near-Facing-In-N
2026-03-08 12:38:00.338,-59,-68,-66,,01-Near-Facing-In,EXP_001,01-Near-Facing-In-N
2026-03-08 12:38:00.537,-59,-66,-66,-55,01-Near-Facing-In,EXP_001,01-Near-Facing-In-N
2026-03-08 12:38:00.731,-70,-64,-66,,01-Near-Facing-In,EXP_001,01-Near-Facing-In-N
2026-03-08 12:38:00.930,-70,-64,-66,-38,01-Near-Facing-In,EXP_001,01-Near-Facing-In-N
2026-03-08 12:38:01.138,-59,-67,-64,-55,01-Near-Facing-In,EXP_001,01-Near-Facing-In-N
2026-03-08 12:38:01.335,-70,,-63,-38,01-Near-Facing-In,EXP_001,01-Near-Facing-In-N
2026-03-08 12:38:01.529,-70,-65,-66,-39,01-Near-Facing-In,EXP_001,01-Near-Facing-In-N
2026-03-08 12:38:01.724,,,,-38,01-Near-Facing-In,EXP_001,01-Near-Facing-In-N
2026-03-08 12:38:01.911,-70,-67,-66,-38,01-Near-Facing-In,EXP_001,01-Near-Facing-In-N
2026-03-08 12:38:02.104,-59,-64,,-38,01-Near-Facing-In,EXP_001,01-Near-Facing-In-N
2026-03-08 12:38:02.304,,-64,-66,-39,01-Near-Facing-In,EXP_001,01-Near-Facing-In-N
2026-03-08 12:38:02.689,-71,-66,,,01-Near-Facing-In,EXP_001,01-Near-Facing-In-N
2026-03-08 12:38:02.892,,,-64,-56,01-Near-Facing-In,EXP_001,01-Near-Facing-In-N
2026-03-08 12:38:03.279,-59,-68,-66,-38,01-Near-Facing-In,EXP_001,01-Near-Facing-In-N
2026-03-08 12:38:03.682,-71,-65,-66,,01-Near-Facing-In,EXP_001,01-Near-Facing-In-N
2026-03-08 12:38:03.879,,,,-55,01-Near-Facing-In,EXP_001,01-Near-Facing-In-N
